rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,temperature,humidity,pressure,wind_speed,elevation_m,slope_deg,drainage_proximity_m,soil_saturation_pct,historical_flood_events,predicted_rainfall_6h_mm,rainfall_category,flood_probability,water_depth_m,flood_risk_level
3.2,6.3,11.9,19.8,33.2,31.5,73.7,1007.6,24.8,43.6,9.9,1200.5,46.4,2,72.7,MODERATE,0.05,0.0,LOW
0.7,1.4,2.7,5.2,7.3,37.8,57.8,1022.0,13.5,9.5,0.6,270.3,37.0,4,10.4,LOW,0.17,0.0,LOW
4.0,10.1,15.6,30.4,49.1,31.1,55.7,1014.5,20.3,2.2,0.6,77.9,39.7,6,39.1,LOW,0.6,1.34,CRITICAL
3.3,8.1,14.4,25.3,41.9,30.0,76.2,1003.9,30.9,15.1,6.6,335.7,40.9,5,54.0,MODERATE,0.34,0.41,MODERATE
7.7,15.5,27.8,51.1,85.4,30.3,83.2,996.9,37.7,15.4,3.9,131.1,45.5,3,97.8,HIGH,0.83,1.44,CRITICAL
14.1,32.4,56.2,80.6,113.1,27.4,95.1,991.3,51.2,4.3,1.8,252.2,59.4,6,130.8,HIGH,0.97,1.88,CRITICAL
1.4,3.5,6.6,11.4,19.6,30.1,61.5,1006.7,26.3,6.8,0.9,387.4,43.3,5,60.4,MODERATE,0.43,0.79,HIGH
11.8,24.4,42.5,78.7,118.9,29.0,74.9,998.6,44.8,29.5,7.8,788.2,64.9,4,95.3,HIGH,0.67,0.75,HIGH
7.2,18.8,33.7,57.2,80.6,27.5,67.7,992.9,49.2,2.7,15.9,16.2,58.0,5,91.1,HIGH,0.83,1.79,CRITICAL
5.5,10.6,21.8,38.3,60.2,33.0,75.7,999.5,35.3,14.1,0.5,106.6,51.6,7,74.5,MODERATE,0.74,1.33,CRITICAL
15.8,39.9,64.4,124.8,216.1,30.6,73.1,995.8,39.1,15.6,3.1,53.5,90.2,5,89.5,MODERATE,0.98,1.8,CRITICAL
1.0,2.4,4.6,7.0,12.4,33.3,66.7,1019.3,20.6,23.0,1.4,53.8,43.5,4,24.4,LOW,0.2,0.0,LOW
7.5,16.2,30.1,43.8,73.4,33.7,58.7,1012.5,31.2,2.7,6.6,1122.6,54.2,7,24.4,LOW,0.25,0.0,LOW
4.4,10.8,18.6,33.7,43.9,30.0,60.1,1004.9,44.2,17.9,1.8,1060.1,51.6,4,77.2,MODERATE,0.31,0.14,MODERATE
1.9,4.8,9.6,18.2,24.9,30.5,56.2,1017.6,29.8,2.1,4.7,540.7,29.4,7,36.3,LOW,0.24,0.0,LOW
10.0,26.5,49.9,95.3,127.5,29.3,58.1,1005.7,53.5,7.5,3.0,406.5,75.6,5,64.3,MODERATE,0.9,1.76,CRITICAL
17.1,37.5,68.7,122.6,165.6,29.7,78.1,997.7,41.8,14.5,3.0,730.8,74.1,5,105.0,HIGH,0.95,1.81,CRITICAL
0.8,2.0,4.0,7.6,11.3,29.8,47.9,1017.9,33.3,45.6,7.1,37.9,32.7,0,24.5,LOW,0.05,0.0,LOW
7.3,17.5,36.0,65.6,96.4,30.1,65.0,1009.6,35.9,4.4,2.5,63.4,58.0,7,41.2,MODERATE,0.81,1.74,CRITICAL
4.5,10.6,23.0,33.4,45.3,28.2,65.1,996.2,54.4,5.3,6.8,159.9,52.9,4,86.8,MODERATE,0.73,1.4,CRITICAL
5.6,14.7,28.5,52.9,92.1,35.8,68.2,1003.4,29.1,21.9,1.9,694.0,55.9,6,79.1,MODERATE,0.63,0.85,HIGH
0.7,1.3,2.8,4.2,6.8,22.7,82.7,997.6,62.0,10.5,1.0,257.9,33.6,6,85.3,MODERATE,0.47,0.89,HIGH
1.1,2.2,3.4,5.2,8.8,28.6,79.7,993.2,44.5,19.6,2.4,281.1,32.6,4,74.4,MODERATE,0.3,0.0,MODERATE
5.8,13.6,25.4,41.6,61.8,36.1,57.9,1012.9,32.1,109.5,2.7,114.0,53.3,2,24.0,LOW,0.05,0.0,LOW
0.1,0.1,0.2,0.4,0.6,33.2,55.5,1021.2,11.9,80.0,2.6,412.2,38.9,2,9.2,LOW,0.05,0.0,LOW
2.0,5.3,8.4,13.3,19.4,30.9,78.1,993.1,43.6,9.9,6.1,846.4,48.9,6,77.6,MODERATE,0.29,0.0,MODERATE
8.9,21.4,40.1,60.2,91.4,31.6,67.1,1009.8,25.0,14.6,3.2,166.9,72.1,6,50.8,MODERATE,0.76,1.27,CRITICAL
0.0,0.0,0.0,0.1,0.1,28.3,66.1,999.5,35.8,44.3,8.0,381.9,38.3,2,57.4,MODERATE,0.06,0.0,LOW
2.9,7.4,13.3,18.8,29.0,24.5,74.8,1000.9,32.7,3.7,2.8,168.3,44.8,8,73.2,MODERATE,0.63,1.29,CRITICAL
5.4,12.2,23.9,40.3,69.3,30.5,59.0,1000.0,45.6,12.8,1.2,613.0,48.0,5,58.4,MODERATE,0.52,0.8,HIGH
8.0,18.7,34.4,64.1,112.2,27.7,71.2,997.7,35.0,10.5,0.8,259.8,75.4,6,79.3,MODERATE,0.92,1.88,CRITICAL
9.4,17.8,32.1,61.6,94.5,28.7,65.8,1005.4,30.0,8.3,7.4,172.6,62.1,4,66.5,MODERATE,0.8,1.49,CRITICAL
6.9,15.2,25.9,49.0,69.6,28.5,77.3,997.9,36.1,94.7,0.5,222.0,52.7,1,73.0,MODERATE,0.08,0.0,LOW
4.3,8.6,15.3,25.2,44.7,35.4,66.8,1007.3,32.1,25.8,0.7,51.4,49.2,2,57.9,MODERATE,0.48,0.52,MODERATE
7.4,18.0,31.5,57.9,96.5,36.6,61.8,1004.6,30.2,10.9,0.5,779.1,58.4,4,46.7,MODERATE,0.59,1.01,HIGH
4.6,10.5,20.4,32.1,52.0,30.9,65.2,1003.0,31.9,33.8,2.2,1220.3,37.6,3,60.8,MODERATE,0.1,0.0,LOW
9.1,19.4,30.7,44.0,73.6,28.5,75.7,997.3,40.6,14.1,3.0,261.6,58.1,5,85.8,MODERATE,0.78,1.44,CRITICAL
19.3,43.8,68.5,123.8,165.6,27.1,72.0,1000.1,40.9,39.1,0.4,110.1,87.2,2,91.2,HIGH,0.94,1.36,CRITICAL
2.1,4.3,8.4,15.1,20.2,32.7,60.5,1011.4,21.9,7.6,2.8,430.2,43.3,4,38.8,LOW,0.28,0.0,MODERATE
2.4,6.3,11.8,22.3,30.7,35.7,62.7,1009.3,24.6,6.6,2.1,243.8,43.4,5,58.9,MODERATE,0.51,1.04,HIGH
0.0,0.1,0.1,0.2,0.3,28.9,78.6,996.7,38.2,7.1,5.5,125.5,35.2,4,82.9,MODERATE,0.46,0.82,HIGH
5.8,14.9,24.0,35.8,54.1,24.8,65.3,1005.8,55.6,15.9,6.5,29.9,50.7,4,57.2,MODERATE,0.55,0.9,HIGH
0.1,0.3,0.6,1.1,1.5,33.2,63.0,1011.4,24.9,8.2,4.3,852.7,36.1,4,49.8,MODERATE,0.13,0.0,LOW
9.6,23.0,47.2,83.9,145.0,31.2,90.7,990.8,49.2,4.9,2.5,620.4,74.6,5,120.6,HIGH,0.97,2.17,CRITICAL
6.4,13.7,29.1,54.8,87.1,27.3,57.7,1009.6,24.9,96.1,1.2,686.1,59.1,0,51.7,MODERATE,0.05,0.0,LOW
5.7,15.2,30.2,56.3,83.6,30.4,63.7,999.4,38.5,43.5,6.9,235.2,65.8,1,67.8,MODERATE,0.44,0.26,MODERATE
1.8,3.9,6.0,9.5,12.7,32.5,68.6,1009.9,23.0,20.1,1.8,546.8,40.8,4,31.9,LOW,0.13,0.0,LOW
13.0,30.9,60.9,88.0,140.4,29.6,70.3,998.5,34.3,42.0,1.8,345.8,74.1,1,108.4,HIGH,0.88,1.11,CRITICAL
3.7,10.0,16.8,25.2,34.3,26.6,79.1,989.7,48.1,51.3,9.0,193.5,47.7,2,95.0,HIGH,0.22,0.0,LOW
14.4,37.6,64.6,94.1,157.3,31.3,75.6,991.2,45.6,22.3,13.3,717.9,81.5,4,91.1,HIGH,0.84,1.23,CRITICAL
6.1,14.1,23.1,35.7,60.8,29.7,66.9,1005.4,28.1,15.2,8.3,2500.0,56.5,4,67.2,MODERATE,0.05,0.0,LOW
1.4,3.8,7.7,12.9,20.2,27.3,74.8,1007.2,34.4,40.5,22.5,887.3,36.8,2,50.3,MODERATE,0.05,0.0,LOW
24.0,59.2,115.6,224.7,309.0,24.5,78.6,997.3,74.8,17.1,7.4,583.8,87.6,4,109.2,HIGH,0.98,1.81,CRITICAL
1.3,2.6,5.1,9.8,16.6,34.6,68.5,1010.4,25.9,4.4,4.6,538.0,35.5,6,48.4,MODERATE,0.26,0.0,LOW
47.7,106.1,208.7,382.2,555.7,30.3,72.7,990.9,49.7,10.2,1.5,414.2,93.8,5,126.0,HIGH,0.98,1.81,CRITICAL
0.0,0.1,0.2,0.2,0.3,30.8,63.2,1004.4,54.3,12.6,11.0,745.2,38.7,7,55.1,MODERATE,0.1,0.0,LOW
2.4,5.2,9.4,15.2,23.3,28.2,62.5,994.7,52.2,51.3,7.6,273.2,35.0,2,95.6,HIGH,0.15,0.0,LOW
1.8,4.5,8.7,15.8,27.7,28.6,68.9,999.5,38.0,21.4,1.3,91.2,44.6,4,68.9,MODERATE,0.47,0.75,HIGH
0.1,0.3,0.5,0.7,1.0,28.0,73.0,1005.4,37.7,39.5,2.7,570.3,42.1,1,51.9,MODERATE,0.07,0.0,LOW
12.9,25.0,51.3,96.5,169.2,28.6,76.9,997.7,36.0,27.5,0.6,972.4,80.4,2,99.6,HIGH,0.9,1.39,CRITICAL
9.2,23.8,40.5,79.0,104.8,24.9,70.0,1001.7,36.5,8.7,11.0,173.7,65.4,5,65.2,MODERATE,0.8,1.55,CRITICAL
6.0,12.8,26.2,42.2,56.6,30.0,61.6,1013.6,21.3,24.8,3.3,595.6,54.2,3,35.6,LOW,0.24,0.0,LOW
2.3,6.3,11.4,20.8,34.4,29.2,69.0,1000.1,33.8,5.9,1.3,136.5,37.8,7,57.8,MODERATE,0.55,1.18,HIGH
2.7,7.1,13.9,20.8,29.0,33.2,63.9,1012.1,24.6,11.4,1.5,1100.9,43.7,5,43.2,MODERATE,0.15,0.0,LOW
11.7,30.9,56.3,102.1,148.9,29.3,80.0,995.4,38.3,31.5,14.1,452.1,82.3,3,98.1,HIGH,0.84,1.11,CRITICAL
2.2,5.6,12.1,17.1,23.4,33.3,56.9,1009.5,32.4,19.0,3.6,335.1,38.5,4,39.5,LOW,0.21,0.0,LOW
3.4,7.0,11.4,17.0,24.9,35.7,60.3,1017.3,19.7,33.4,2.2,590.1,46.0,4,28.5,LOW,0.09,0.0,LOW
15.0,35.0,69.0,125.9,181.4,30.5,89.9,984.0,54.9,7.3,2.7,652.6,85.0,4,143.2,HIGH,0.98,2.04,CRITICAL
1.1,2.2,4.2,7.7,12.9,30.9,71.8,998.2,35.6,26.9,0.7,862.0,35.2,3,82.2,MODERATE,0.17,0.0,LOW
8.7,18.4,29.8,53.1,87.7,31.4,68.1,1009.9,23.6,6.1,0.6,894.3,58.6,5,39.8,LOW,0.53,1.08,HIGH
12.7,30.3,46.8,79.0,140.4,28.0,84.0,1003.3,36.2,16.2,3.4,35.6,71.0,5,79.2,MODERATE,0.94,1.53,CRITICAL
6.0,11.6,23.9,43.1,71.6,33.0,65.5,1008.2,57.8,12.2,2.8,64.8,50.2,5,71.6,MODERATE,0.76,1.28,CRITICAL
1.5,4.0,6.5,12.1,20.0,34.2,74.6,999.9,33.4,16.6,1.9,679.6,39.2,3,64.4,MODERATE,0.24,0.0,LOW
1.8,4.8,7.9,15.6,25.8,31.6,64.2,1005.7,29.3,4.6,3.2,1124.5,42.4,6,58.4,MODERATE,0.21,0.0,LOW
3.7,8.2,17.9,34.6,60.2,35.3,70.5,1003.7,45.0,10.1,0.6,154.7,50.7,4,78.2,MODERATE,0.77,1.48,CRITICAL
1.2,2.9,5.7,10.8,15.6,28.2,62.9,1014.9,17.8,21.8,10.4,18.3,38.0,5,11.6,LOW,0.11,0.0,LOW
1.6,3.7,6.1,11.2,16.2,28.1,67.8,1007.2,41.9,16.7,1.5,163.1,40.6,3,52.0,MODERATE,0.33,0.21,MODERATE
8.0,20.9,40.0,69.7,116.4,33.2,61.1,1007.9,30.4,16.3,0.6,198.4,69.7,3,61.4,MODERATE,0.86,1.4,CRITICAL
8.4,20.5,38.4,56.5,79.9,30.9,72.3,1001.5,35.2,14.9,1.0,558.9,51.2,4,73.2,MODERATE,0.65,0.92,HIGH
8.0,16.9,35.4,53.1,93.2,33.4,79.1,1000.9,34.6,53.8,0.7,33.5,59.4,0,76.6,MODERATE,0.55,0.1,HIGH
2.2,4.9,9.9,18.7,29.3,30.1,73.7,1001.3,34.0,51.1,1.0,105.8,33.2,1,80.8,MODERATE,0.21,0.0,LOW
16.3,36.5,76.1,143.2,207.7,29.0,70.7,1008.4,26.9,10.0,2.2,867.7,89.2,6,78.0,MODERATE,0.97,1.91,CRITICAL
1.7,4.4,7.3,12.9,21.8,29.7,70.2,1001.4,48.3,9.8,5.0,78.9,41.8,4,63.2,MODERATE,0.47,0.74,HIGH
10.5,21.4,41.8,69.4,101.1,27.2,70.3,1007.5,35.2,16.6,1.4,556.1,65.7,5,84.3,MODERATE,0.8,1.24,CRITICAL
3.9,7.7,11.8,16.7,29.8,30.2,56.4,1022.0,18.9,3.8,2.3,185.4,44.0,5,2.0,LOW,0.27,0.0,LOW
4.4,11.4,17.7,28.3,50.6,34.1,57.9,1012.4,32.6,8.5,9.5,427.9,51.7,4,19.9,LOW,0.26,0.0,LOW
39.8,104.3,208.5,344.5,562.7,32.5,72.3,1002.2,32.6,6.7,1.5,44.2,90.3,5,96.8,HIGH,0.98,2.07,CRITICAL
2.5,6.5,9.8,16.6,22.6,33.0,55.4,1015.2,24.6,6.6,5.8,143.3,37.8,6,22.7,LOW,0.26,0.0,LOW
1.8,4.2,8.0,15.7,22.5,25.9,68.1,1001.5,35.9,20.3,0.9,225.1,35.6,4,61.8,MODERATE,0.34,0.31,MODERATE
3.0,7.2,15.0,22.0,34.3,27.4,83.2,987.7,57.3,10.7,1.0,754.6,43.1,6,105.1,HIGH,0.56,0.84,HIGH
3.9,9.3,16.4,28.0,48.4,26.5,76.8,996.4,39.1,5.4,2.4,330.0,44.5,4,76.7,MODERATE,0.66,1.27,CRITICAL
0.1,0.2,0.2,0.4,0.5,31.5,75.2,989.1,51.9,41.3,1.2,32.6,34.6,2,94.3,HIGH,0.26,0.0,LOW
10.1,23.9,47.9,95.5,129.1,28.8,76.2,1002.0,47.6,39.3,8.5,630.1,68.0,2,75.8,MODERATE,0.57,0.4,HIGH
2.3,4.3,9.4,17.9,24.0,28.0,71.3,1005.2,31.3,37.7,0.5,36.3,43.7,1,69.1,MODERATE,0.31,0.1,MODERATE
2.1,4.5,8.9,14.8,23.1,32.7,53.7,1019.2,13.4,10.9,3.5,1050.0,41.6,5,14.3,LOW,0.08,0.0,LOW
2.0,5.3,10.0,20.0,34.9,29.5,58.6,1007.8,30.4,3.1,3.5,105.4,46.8,6,41.2,MODERATE,0.52,1.04,HIGH
4.8,10.3,17.1,29.1,38.5,34.1,69.3,1003.1,32.7,4.0,0.5,269.3,47.8,5,64.0,MODERATE,0.63,1.28,CRITICAL
13.3,35.4,53.5,80.2,112.8,29.8,60.7,1012.0,29.1,7.8,4.9,43.5,65.1,4,62.1,MODERATE,0.89,2.02,CRITICAL
3.7,7.8,15.6,27.0,44.4,24.6,84.0,986.2,70.7,6.5,2.5,328.5,46.6,5,113.2,HIGH,0.8,1.72,CRITICAL
7.4,15.9,26.4,40.6,69.5,25.6,65.1,1007.0,30.7,39.3,4.8,276.3,56.6,4,40.2,MODERATE,0.26,0.0,LOW
3.8,9.2,19.4,34.5,58.8,31.5,53.3,1011.6,25.7,79.3,6.4,215.7,63.4,1,20.3,LOW,0.05,0.0,LOW
2.7,6.8,12.4,24.3,41.2,27.6,76.6,992.4,48.7,32.5,1.7,28.8,41.4,2,91.2,HIGH,0.53,0.53,HIGH
2.2,5.0,9.4,17.7,24.1,28.4,59.3,1014.7,18.3,25.6,2.6,817.3,41.8,4,34.7,LOW,0.09,0.0,LOW
2.8,7.2,14.5,22.7,34.1,34.0,69.4,1007.9,26.8,18.0,1.4,631.6,38.4,4,64.6,MODERATE,0.3,0.0,MODERATE
11.0,21.2,43.3,68.3,122.4,31.9,67.8,1001.5,51.1,28.4,1.1,395.9,68.6,2,95.4,HIGH,0.86,1.28,CRITICAL
6.3,16.6,32.3,46.6,83.6,31.3,72.6,1010.4,30.8,54.9,0.3,337.7,54.6,0,66.3,MODERATE,0.32,0.1,MODERATE
0.6,1.2,2.6,4.1,6.5,36.4,45.4,1022.0,10.1,18.6,11.9,466.2,36.2,3,2.0,LOW,0.05,0.0,LOW
11.3,29.4,64.3,93.5,154.7,32.5,73.8,1006.5,27.6,5.0,2.3,74.1,78.3,4,66.3,MODERATE,0.97,2.02,CRITICAL
1.6,3.5,7.6,12.9,22.8,28.9,65.7,1007.1,34.4,5.2,0.3,1040.2,38.8,8,26.7,LOW,0.14,0.0,LOW
12.5,32.1,66.8,121.9,185.8,27.6,75.9,1001.1,42.9,17.8,0.3,142.3,77.2,4,82.0,MODERATE,0.98,1.67,CRITICAL
18.8,45.9,91.6,169.4,231.9,31.7,74.7,997.8,49.4,9.3,1.5,421.0,97.1,5,89.6,MODERATE,0.98,2.11,CRITICAL
11.4,23.2,45.5,65.3,106.8,32.6,68.6,1012.1,22.9,45.4,0.3,369.7,68.6,1,22.8,LOW,0.34,0.1,MODERATE
13.8,36.3,57.0,91.5,162.9,30.1,72.4,997.7,56.2,19.0,1.9,399.7,79.1,3,118.6,HIGH,0.97,1.6,CRITICAL
2.9,6.2,10.4,16.4,27.0,28.6,62.5,1005.6,33.2,22.3,0.5,817.4,38.0,5,48.1,MODERATE,0.15,0.0,LOW
38.1,79.8,120.0,175.5,298.6,31.6,78.9,1000.9,41.1,2.1,0.4,148.3,90.4,5,79.7,MODERATE,0.98,2.07,CRITICAL
2.5,6.4,10.3,16.6,25.2,29.3,64.7,1009.1,30.5,14.4,4.2,540.2,43.7,5,44.9,MODERATE,0.23,0.0,LOW
6.1,12.2,22.0,34.7,46.8,30.8,67.4,1007.8,25.5,12.2,8.6,361.7,51.7,5,73.2,MODERATE,0.5,0.83,HIGH
0.9,1.8,2.8,5.1,7.0,35.5,67.7,1013.8,44.8,24.0,2.1,45.1,41.2,5,68.6,MODERATE,0.34,0.32,MODERATE
29.1,67.0,142.7,275.4,493.4,28.4,66.8,1000.7,32.9,10.7,6.6,218.2,95.3,5,87.2,MODERATE,0.98,1.9,CRITICAL
9.9,25.4,52.5,87.8,135.8,26.4,73.3,1002.7,32.1,69.6,0.4,706.5,63.6,1,75.9,MODERATE,0.35,0.1,MODERATE
12.8,25.9,40.2,74.2,97.0,26.9,72.2,996.7,49.3,22.0,5.6,159.0,60.1,5,103.9,HIGH,0.85,1.51,CRITICAL
0.5,1.3,2.1,3.2,5.6,32.7,70.9,1001.2,39.0,21.4,0.5,265.2,41.5,5,66.6,MODERATE,0.3,0.0,MODERATE
8.3,20.5,42.5,82.3,127.5,31.8,66.3,1008.2,38.7,47.3,6.7,269.9,65.5,1,64.1,MODERATE,0.56,0.22,HIGH
4.8,12.4,25.6,38.3,65.7,31.2,55.9,1011.4,26.6,98.1,7.8,380.7,59.2,2,46.3,MODERATE,0.05,0.0,LOW
9.8,26.1,56.4,85.4,134.4,28.3,70.9,997.2,39.2,6.0,5.7,833.6,81.0,5,71.2,MODERATE,0.86,1.81,CRITICAL
1.9,4.8,10.5,15.3,20.7,32.9,69.4,1012.4,40.2,31.9,6.3,87.4,46.6,2,67.9,MODERATE,0.27,0.0,LOW
2.4,5.9,12.8,20.3,32.7,30.1,63.8,1016.5,15.9,5.2,3.2,281.9,47.3,4,19.4,LOW,0.32,0.48,MODERATE
0.6,1.5,2.6,4.5,8.1,31.9,65.4,1008.5,39.3,13.0,1.4,224.8,35.0,4,43.1,MODERATE,0.26,0.0,LOW
0.9,1.9,3.2,6.3,8.3,31.0,57.0,1021.0,13.2,3.9,3.9,148.3,38.7,7,14.6,LOW,0.23,0.0,LOW
2.5,6.1,12.4,23.2,39.9,27.5,72.3,998.4,49.2,19.6,2.3,972.9,39.3,4,90.6,HIGH,0.31,0.24,MODERATE
5.0,13.5,23.2,37.7,53.5,27.6,83.7,994.4,39.4,13.4,0.3,18.1,45.8,5,105.4,HIGH,0.84,1.45,CRITICAL
2.1,5.3,10.8,18.9,28.3,27.7,79.5,989.9,49.8,19.8,2.6,64.5,39.2,3,100.5,HIGH,0.62,1.01,HIGH
0.7,1.3,2.4,4.3,6.4,32.3,59.6,1017.7,31.9,22.4,4.0,517.3,37.1,4,30.3,LOW,0.09,0.0,LOW
0.5,1.1,2.2,4.2,7.4,32.0,69.8,1010.6,26.8,19.4,0.3,131.2,35.1,3,60.6,MODERATE,0.32,0.28,MODERATE
15.8,37.9,64.2,118.2,183.4,21.4,65.0,1004.5,38.9,8.3,3.7,503.1,86.8,4,69.8,MODERATE,0.96,1.84,CRITICAL
5.6,13.7,25.4,44.2,67.4,29.0,74.4,1007.4,38.0,34.6,4.0,693.4,57.9,4,55.8,MODERATE,0.26,0.0,LOW
4.4,11.0,20.8,37.4,63.9,28.4,68.5,995.4,47.8,16.4,0.9,126.7,49.0,3,74.7,MODERATE,0.71,1.28,CRITICAL
1.8,4.3,9.2,17.0,22.5,36.8,63.1,1022.0,30.8,14.1,2.3,96.0,41.9,4,34.8,LOW,0.32,0.37,MODERATE
6.0,12.5,21.1,31.3,42.0,28.1,65.8,1006.1,31.0,80.3,12.0,74.7,44.5,0,46.8,MODERATE,0.05,0.0,LOW
16.0,42.4,91.4,139.0,182.2,31.2,66.6,1005.9,28.0,8.0,7.8,99.8,86.1,8,48.4,MODERATE,0.96,1.99,CRITICAL
0.6,1.4,3.0,5.4,8.8,35.3,54.2,1011.2,21.5,15.5,2.2,133.1,40.9,3,25.9,LOW,0.21,0.0,LOW
1.7,3.6,7.3,14.0,21.9,28.0,63.0,1009.1,25.5,22.6,1.8,786.6,45.6,4,43.0,MODERATE,0.14,0.0,LOW
19.4,41.9,85.9,141.3,245.5,31.9,61.8,1006.9,26.7,4.4,0.8,573.5,93.4,7,70.5,MODERATE,0.98,1.95,CRITICAL
4.0,10.5,20.2,40.2,62.4,27.8,70.8,998.3,40.8,9.9,0.4,15.7,54.2,4,59.7,MODERATE,0.75,1.45,CRITICAL
0.1,0.3,0.5,0.8,1.1,30.0,64.6,1009.0,24.9,31.1,1.5,802.5,28.2,2,48.5,MODERATE,0.06,0.0,LOW
0.3,0.7,1.2,2.0,3.4,30.9,60.6,1021.0,11.3,6.9,10.2,46.2,30.5,6,29.8,LOW,0.19,0.0,LOW
0.1,0.2,0.3,0.5,0.8,30.4,60.5,1016.4,16.0,14.2,11.4,419.7,31.1,5,15.0,LOW,0.06,0.0,LOW
10.9,21.2,42.6,83.4,147.4,38.0,59.3,1018.5,27.8,19.9,6.2,77.4,77.3,4,31.9,LOW,0.83,1.42,CRITICAL
2.4,5.1,8.4,13.2,18.8,32.2,66.5,1000.7,39.0,22.0,1.8,39.4,33.7,5,40.6,MODERATE,0.25,0.0,LOW
23.0,55.3,106.7,179.5,248.4,32.3,70.8,996.6,39.5,25.5,0.8,556.9,91.7,7,105.8,HIGH,0.98,1.63,CRITICAL
48.4,114.5,207.6,313.9,485.5,31.8,78.4,1003.9,46.5,38.2,3.5,254.3,91.3,2,122.7,HIGH,0.98,1.37,CRITICAL
5.5,13.2,21.3,36.4,48.3,26.7,64.5,1005.5,27.5,11.0,3.9,362.3,38.6,4,55.3,MODERATE,0.43,0.83,HIGH
0.2,0.4,0.8,1.5,2.0,32.9,69.4,1014.3,49.3,24.1,2.2,225.5,30.1,4,31.5,LOW,0.12,0.0,LOW
1.0,1.9,3.2,5.1,7.9,31.4,78.8,990.6,49.8,25.7,4.4,41.4,42.4,3,105.8,HIGH,0.49,0.65,HIGH
1.5,3.0,4.7,8.8,12.4,30.3,58.2,1018.0,15.7,8.4,5.1,526.3,41.9,5,17.8,LOW,0.14,0.0,LOW
4.3,9.4,17.2,33.4,43.6,32.9,74.9,1003.7,37.9,64.0,5.6,667.4,42.7,5,37.5,LOW,0.05,0.0,LOW
8.6,17.4,33.3,48.0,69.5,31.9,77.8,1001.4,42.6,38.1,2.7,31.1,48.9,2,91.1,HIGH,0.61,0.5,HIGH
5.6,11.0,16.8,31.2,48.0,34.1,74.8,996.4,40.7,8.2,5.8,194.0,36.0,5,98.5,HIGH,0.7,1.15,HIGH
30.9,74.5,132.7,206.1,308.6,27.7,77.8,990.9,57.6,22.2,0.4,324.7,97.4,5,140.1,HIGH,0.98,1.72,CRITICAL
3.3,8.5,14.2,21.4,29.2,28.9,62.7,1012.0,21.5,24.8,4.3,368.1,43.2,3,23.8,LOW,0.14,0.0,LOW
8.2,20.4,31.1,54.7,87.0,29.9,69.7,1005.6,29.4,12.2,1.2,343.0,68.3,6,40.6,MODERATE,0.68,1.21,CRITICAL
25.9,66.2,105.1,191.6,317.2,32.8,81.7,994.0,39.4,37.9,1.4,463.7,89.0,4,109.4,HIGH,0.98,1.39,CRITICAL
1.7,4.1,6.6,10.8,17.6,24.6,77.3,994.0,40.5,23.1,0.6,1309.2,41.3,3,94.9,HIGH,0.17,0.0,LOW
2.2,5.4,8.8,12.6,18.8,25.1,73.9,1002.1,32.5,21.3,1.0,203.2,44.6,4,58.1,MODERATE,0.34,0.42,MODERATE
0.4,0.8,1.7,3.2,4.4,32.8,65.4,1019.2,32.8,6.5,17.2,324.1,44.4,8,11.3,LOW,0.08,0.0,LOW
1.2,3.2,5.8,10.7,16.5,29.3,72.2,1002.8,30.3,11.4,2.2,471.3,42.1,4,73.8,MODERATE,0.39,0.66,HIGH
8.3,17.0,27.2,42.5,74.2,29.0,80.2,992.2,44.9,12.2,9.5,356.1,55.4,4,96.3,HIGH,0.73,1.59,CRITICAL
2.4,5.0,7.8,13.2,20.3,32.8,62.6,1002.9,35.6,25.8,0.9,200.8,40.7,4,65.0,MODERATE,0.32,0.12,MODERATE
2.9,6.2,10.5,14.9,20.8,29.0,57.2,1002.7,48.1,19.3,1.1,386.8,35.5,3,56.9,MODERATE,0.27,0.0,LOW
61.2,164.1,337.7,541.6,729.2,22.9,88.7,982.1,95.0,3.6,3.2,414.1,88.1,5,190.7,EXTREME,0.98,2.2,CRITICAL
1.2,3.2,5.5,9.5,16.8,35.7,68.4,1004.5,39.1,8.6,1.8,349.2,39.9,6,60.2,MODERATE,0.39,0.87,HIGH
5.5,13.9,22.4,38.3,63.9,27.9,67.5,1003.0,57.7,13.5,3.9,102.2,59.5,4,67.7,MODERATE,0.71,1.23,CRITICAL
0.5,1.2,2.2,3.4,4.9,28.8,65.0,1010.9,33.7,26.0,2.2,283.0,34.2,3,39.0,LOW,0.13,0.0,LOW
0.5,1.1,2.2,4.0,5.9,35.6,55.7,1020.7,37.7,26.5,6.1,834.8,41.9,2,6.4,LOW,0.05,0.0,LOW
3.4,9.0,13.7,21.7,37.9,31.0,66.5,1014.6,27.4,14.1,2.3,786.2,45.0,4,46.4,MODERATE,0.24,0.0,LOW
22.5,55.3,107.3,187.5,260.4,30.2,70.8,1002.7,30.4,4.2,3.3,543.0,96.2,6,97.1,HIGH,0.98,2.14,CRITICAL
4.7,12.4,22.0,34.4,54.0,30.6,72.3,995.6,41.1,8.2,1.7,469.0,53.2,6,77.9,MODERATE,0.66,1.22,CRITICAL
0.1,0.3,0.4,0.6,1.1,35.7,60.0,1022.0,18.3,7.3,4.6,78.2,38.3,4,37.9,LOW,0.28,0.0,MODERATE
